id,alt,utmx_norm, utmy_norm, longx_norm, longy_norm
733,204.3443,-240.48642006050795,9.857671082485467,-0.003395270181680843,6.222729750504641e-05
734,204.3552,-240.23412006051512,10.825271082459949,-0.0033918801816810173,7.095729750261626e-05
735,204.342,-239.97702006052714,11.791671082493849,-0.0033884201816789528,7.96772974993587e-05
736,204.3308,-239.71092006051913,12.755571082467213,-0.0033848301816803428,8.837729750155177e-05
737,204.3232,-239.43252006050898,13.715971082507167,-0.0033810601816810504,9.704729750126262e-05
738,204.3108,-239.13782006053953,14.671571082493756,-0.0033770701816813187,0.00010567729750476929
739,204.32,-238.8289200605359,15.622471082489938,-0.0033728801816792497,0.00011426729750496634
740,204.3042,-238.50652006053133,16.56907108251471,-0.003368490181681949,0.00012281729750185377
741,204.2921,-238.1726200605044,17.51167108246591,-0.003363940181682068,0.00013132729750253702
742,204.2927,-237.83082006050972,18.451471082516946,-0.003359280181680191,0.00013981729750156546
743,204.2759,-237.49692006054102,19.394071082468145,-0.00335473018168031,0.00014833729750307612
744,204.266,-237.16742006054847,20.33817108249059,-0.0033502501816791153,0.00015686729749830874
745,204.26,-236.8344200605061,21.281171082460787,-0.0033457101816800616,0.000165377297498992
746,204.2548,-236.50022006052313,22.223571082460694,-0.0033411601816801806,0.00017389729750050265
747,204.2489,-236.15952006052248,23.163771082472522,-0.003336510181679131,0.0001823872974995311
748,204.2415,-235.816920060548,24.10327108250931,-0.003331840181679979,0.00019087729749855953
749,204.2357,-235.46972006052965,25.04107108246535,-0.003327100181682141,0.0001993472975030386
750,204.2434,-235.12152006052202,25.9784710824606,-0.003322350181679923,0.00020781729750041222
751,204.2126,-234.76692006050143,26.91347108251648,-0.003317510181680916,0.00021626729750323648
752,204.197,-234.41152006050106,27.848171082499903,-0.003312660181681082,0.0002247172974989553
753,204.1749,-234.04142006050097,28.777171082503628,-0.0033075901816808084,0.00023311729750474797
754,204.217,-233.67022006050684,29.705771082488354,-0.003302520181680535,0.0002415072975026078
755,204.18,-233.2878200605046,30.629771082487423,-0.0032972801816804065,0.00024985729750426344
756,204.1734,-232.90452006051783,31.553371082467493,-0.0032920301816794506,0.00025820729749881366
757,204.146,-232.5038200605195,32.469571082503535,-0.003286530181679126,0.0002664972975026103
758,204.1492,-232.10202006052714,33.38527108251583,-0.0032810201816815265,0.0002747772974984741
759,204.1312,-231.68902006052667,34.29597108246526,-0.003275350181681347,0.0002830172975052392
760,204.1126,-231.2758200605167,35.206671082472894,-0.003269680181681167,0.0002912472975040714
761,204.1124,-230.8615200605127,36.11677108251024,-0.0032639901816793326,0.00029948729750373104
762,204.1301,-230.44492006051587,37.02587108250009,-0.0032582701816821213,0.00030770729750173587
763,204.0799,-230.02002006053226,37.93107108247932,-0.0032524301816820866,0.0003158972975043639
764,204.0953,-229.59352006053086,38.83557108248351,-0.003246570181680397,0.0003240772974990591
765,204.0882,-229.1626200604951,39.73797108250437,-0.003240640181680021,0.00033223729749920494
766,204.0787,-228.73212006053654,40.64057108247653,-0.0032347201816804727,0.0003404072975001782
767,204.0643,-228.30272006051382,41.54367108247243,-0.0032288201816790263,0.0003485772975011514
768,204.03,-227.8727200605208,42.44647108251229,-0.003222910181680305,0.00035674729750212464
769,204.04,-227.441520060529,43.34877108247019,-0.0032169801816799293,0.00036490729750227047
770,204.0141,-227.0113200605265,44.251571082510054,-0.003211070181681208,0.0003730772975032437
771,204.0242,-226.582620060537,45.154971082462,-0.0032051701816797618,0.00038124729750421693
772,204.0003,-226.15542006050237,46.0590710825054,-0.0031993001816807976,0.00038942729749891214
773,204.0041,-225.73012006049976,46.96417108247988,-0.0031934501816799354,0.0003976172975015402
774,203.9952,-225.30322006053757,47.86847108247457,-0.0031875901816817986,0.0004057972975033408
775,203.9831,-224.87442006054334,48.77187108248472,-0.0031816901816803522,0.00041397729750514145
776,203.9762,-224.44522006053012,49.675071082485374,-0.003175790181678906,0.00042214729749900926
777,203.9532,-224.0154200605466,50.57797108247178,-0.0031698801816801847,0.0004303172974999825
778,203.9662,-223.58612006052863,51.48117108247243,-0.003163980181682291,0.0004384872975009557
779,203.9469,-223.1573200605344,52.38457108248258,-0.003158090181681672,0.00044665729750192895
780,203.9371,-222.7314200605033,53.28927108249627,-0.0031522301816799825,0.0004548372975037296
781,203.9375,-222.30742006050423,54.19497108249925,-0.0031464101816816026,0.0004630372975000796
782,203.9241,-221.88272006053012,55.10027108248323,-0.003140570181681568,0.00047122729750270764
783,203.9004,-221.45752006053226,56.00547108246246,-0.003134730181681533,0.00047941729749823025
784,203.8859,-221.0315200604964,56.910071082471404,-0.0031288701816798437,0.0004875972975000309
785,203.8915,-220.605020060495,57.814571082475595,-0.003123010181681707,0.0004957772975018315
786,203.8749,-220.18182006053394,58.720671082497574,-0.0031171901816797742,0.0005039772974981815
787,203.8598,-219.7599200605182,59.627271082485095,-0.003111400181680324,0.000512177297501637
788,203.853,-219.3385200605262,60.534171082486864,-0.0031056101816808734,0.0005203872974988144
789,203.84,-218.91732006054372,61.441071082488634,-0.003099820181681423,0.0005285872975022698
790,203.86,-218.49562006053748,62.34787108248565,-0.0030940301816819726,0.0005367872974986199
791,203.8257,-218.07392006053124,63.25457108247792,-0.003088230181681695,0.0005449872975020753
792,203.8252,-217.651820060506,64.16117108246544,-0.003082430181681417,0.0005531972974992527
