elevation,utm_x_norm,utm_y_norm,longx_norm,longy_norm
204.44,22.3451,81.6595,0.000315949,0.000720927
204.427,24.0855,83.5795,0.000340557,0.000737877
204.446,25.9924,85.298,0.00036752,0.000753049
204.446,28.0319,86.7211,0.000396358,0.000765613
204.445,30.2453,87.8896,0.000427654,0.00077593
204.456,32.537,88.7477,0.000460057,0.000783505
204.471,34.9434,89.2696,0.000494083,0.000788113
204.513,37.2997,89.4776,0.000527399,0.000789949
204.552,39.979,89.3363,0.000565284,0.000788701
204.57,42.3585,88.9261,0.000598929,0.00078508
204.603,44.845,88.2075,0.000634086,0.000778736
204.627,47.3705,87.2163,0.000669796,0.000769985
204.697,49.8752,86.0337,0.000705211,0.000759545
204.702,52.3844,84.7193,0.00074069,0.000747941
204.712,54.902,83.2878,0.000776288,0.000735302
204.76,57.4047,81.7879,0.000811674,0.000722061
204.786,59.8994,80.2296,0.000846949,0.000708303
204.816,62.4053,78.6295,0.000882381,0.000694177
204.845,64.8997,77.0143,0.000917651,0.000679917
